0.092,0.023,0.022,0.022,0.025
0.024,0.094,0.025,0.022,0.024
0.024,0.024,0.094,0.023,0.023
0.023,0.023,0.024,0.093,0.022
0.023,0.023,0.027,0.023,0.095
0.07,0.071,0.049,0.046,0.046
0.068,0.047,0.071,0.047,0.045
0.068,0.045,0.047,0.069,0.045
0.066,0.046,0.045,0.046,0.071
0.044,0.069,0.066,0.049,0.043
0.046,0.069,0.051,0.074,0.047
0.047,0.069,0.047,0.044,0.069
0.048,0.046,0.068,0.07,0.044
0.045,0.044,0.067,0.045,0.066
0.041,0.049,0.047,0.068,0.069
0.047,0.048,0.05,0.071,0.074
0.05,0.048,0.074,0.046,0.072
0.045,0.044,0.066,0.068,0.045
0.049,0.074,0.05,0.048,0.073
0.048,0.074,0.049,0.073,0.05
0.048,0.074,0.072,0.044,0.054
0.071,0.051,0.051,0.047,0.077
0.074,0.046,0.053,0.075,0.049
0.071,0.045,0.071,0.047,0.05
0.072,0.073,0.05,0.047,0.048
0.028,0.026,0.025,0.028,0.107
0.025,0.027,0.024,0.106,0.029
0.026,0.026,0.104,0.028,0.025
0.023,0.107,0.028,0.029,0.028
0.11,0.03,0.028,0.026,0.026
0,0,0,0,0